Target,x,y,permintaan,waktu_buka,waktu_tutup
0,40,50,0,0,1236
1,45,68,10,912,967
2,45,70,30,825,870
3,42,66,10,65,146
4,42,68,10,727,782
5,42,65,10,15,67
6,40,69,20,621,702
7,40,66,20,170,225
8,38,68,20,255,324
9,38,70,10,534,605
10,35,66,10,357,410
11,35,69,10,448,505
12,25,85,20,652,721
13,22,75,30,30,92
14,22,85,10,567,620
15,20,80,40,384,429
16,20,85,40,475,528
17,18,75,20,99,148
18,15,75,20,179,254
19,15,80,10,278,345
20,30,50,10,10,73
21,30,52,20,914,965
22,28,52,20,812,883
23,28,55,10,732,777
24,25,50,10,65,144
25,25,52,40,169,224